"question category","question type","is correct","question/answer text","points","attempts","random","is feedback","correct feedback text","incorrect feedback text"
"TrigPrecalc2","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem1/question/new_question1.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12000-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12000-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem1/options/option1_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem1/options/option1_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem1/options/option1_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem1/options/option1_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"TrigPrecalc2","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem2/question/new_question2.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12001-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12001-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem2/options/option2_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem2/options/option2_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem2/options/option2_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem2/options/option2_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"TrigPrecalc2","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem4/question/new_question4.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12003-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12003-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem4/options/option4_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem4/options/option4_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem4/options/option4_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem4/options/option4_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"TrigPrecalc2","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem5/question/new_question5.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12004-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12004-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem5/options/option5_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem5/options/option5_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem5/options/option5_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem5/options/option5_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"TrigPrecalc2","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem6/question/new_question6.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12005-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12005-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem6/options/option6_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem6/options/option6_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem6/options/option6_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem6/options/option6_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"TrigPrecalc2","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem7/question/new_question7.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12006-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12006-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem7/options/option7_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem7/options/option7_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem7/options/option7_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem7/options/option7_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"TrigPrecalc2","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem8/question/new_question8.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12007-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12007-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem8/options/option8_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem8/options/option8_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem8/options/option8_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem8/options/option8_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"TrigPrecalc2","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem10/question/new_question10.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12009-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/index.php/trig-precalc/12009-trig-precalc.2"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem10/options/option10_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem10/options/option10_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
