differential(x/(e^x)),\[\left( {\frac{x}{{{e^x}}}} \right)\],3,Derivative;Differential CalculusExponential;Product Rule
differential(((x^3)+2x)(e^x)),\[\left( {\left( {{x^3} + 2x} \right){e^x}} \right)\],3,Derivative;Differential CalculusExponential;Product Rule
differential((e^x)/(1-(e^x))),\[\left( {\frac{{{e^x}}}{{1 - {e^x}}}} \right)\],3,Derivative;Differential CalculusExponential;Quotient Rule
differential((1+2x)/(3-4x)),\[\left( {\frac{{1 + 2x}}{{3 - 4x}}} \right)\],3,Derivative;Differential CalculusQuotient Rule; Sum Rule
differential((((1)/(x^2))-(3/(x^4)))(x+(5*x^3))),\[\left( {\left( {\frac{1}{{{x^2}}} - \frac{3}{{{x^4}}}} \right)(x + 5{x^3})} \right)\],3,Derivative;Differential CalculusPower Rule
differential((3*x^2)-(2cosx)),\[\left( {3{x^2} - 2\cos x} \right)\],3,Derivative;Differential CalculusPower Rule;Sum Rule;Sin
differential((sqrtx)(sinx)),\[\left( {\sqrt x {\mathop{\rm sinx}\nolimits} } \right)\],4,Derivative;Differential CalculusPower Rule;Sum Rule;Sin;Product Rule
differential((sinx)+((1/2)cotx)),\[\left( {\sin x + \frac{1}{2}\cot x} \right)\],3,Derivative;Differential CalculusSum Rule;Sin;Cot
differential(2secx-cscx),\[\left( {2\sec x - \csc x} \right)\],3,Derivative;Differential CalculusSum Rule;Sin;Cosec
differential(secxtanx),\[\left( {\sec x\tan x} \right)\],4,Derivative;Differential CalculusSum Rule;Product Rule;Secant;Tan
differential((e^x)(tanx-x)),\[\left( {{e^x}(\tan x - x)} \right)\],4,Derivative;Differential CalculusSum Rule;Product Rule;Secant;Tangent;Exponent
differential((acosx)+((x^2)*sinx)),\[\left( {a\cos x + {x^2}\sin x} \right)\],3,Derivative;Differential CalculusPower Rule;Sum Rule;Sin;Product Rule;Sin;Cos
differential((cosx)/(e^x)),\[\left( {\frac{{\cos x}}{{{e^x}}}} \right)\],4,Derivative;Differential CalculusSum Rule;Product Rule;Cosine;Exponent
differential(x/(2-tanx)),\[\left( {\frac{x}{{2 - \tan x}}} \right)\],4,Derivative;Differential CalculusQuotient Rule;Tan
differential(sinxcosx),\[\left( {\sin x\cos x} \right)\],4,Derivative;Differential CalculusSin
differential((secx)/(1+secx)),\[\left( {\frac{{\sec x}}{{1 + \sec x}}} \right)\],4,Derivative;Differential CalculusQuotient Rule;Secant
